timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1781303318737,7,BorrowBookRequest,404,Not Found,Thread Group 1-4,text,false,,290,220,1,1,http://localhost:5133/api/loans,7,0,0
1781303318922,7,BorrowBookRequest,404,Not Found,Thread Group 1-5,text,false,,290,220,1,1,http://localhost:5133/api/loans,7,0,1
1781303318930,7,BorrowBookRequest,404,Not Found,Thread Group 1-5,text,false,,290,219,1,1,http://localhost:5133/api/loans,7,0,0
1781303318937,8,BorrowBookRequest,422,Unprocessable Entity,Thread Group 1-5,text,false,,326,218,1,1,http://localhost:5133/api/loans,8,0,0
1781303318945,6,BorrowBookRequest,404,Not Found,Thread Group 1-5,text,false,,289,220,1,1,http://localhost:5133/api/loans,6,0,0
1781303318952,7,BorrowBookRequest,404,Not Found,Thread Group 1-5,text,false,,290,220,1,1,http://localhost:5133/api/loans,6,0,0
1781303318959,9,BorrowBookRequest,422,Unprocessable Entity,Thread Group 1-5,text,false,,327,217,1,1,http://localhost:5133/api/loans,9,0,0
1781303318968,21,BorrowBookRequest,404,Not Found,Thread Group 1-5,text,false,,290,219,1,1,http://localhost:5133/api/loans,21,0,0
1781303318989,6,BorrowBookRequest,404,Not Found,Thread Group 1-5,text,false,,290,220,1,1,http://localhost:5133/api/loans,6,0,0
1781303318995,6,BorrowBookRequest,404,Not Found,Thread Group 1-5,text,false,,290,220,1,1,http://localhost:5133/api/loans,6,0,0
1781303319001,8,BorrowBookRequest,422,Unprocessable Entity,Thread Group 1-5,text,false,,327,217,1,1,http://localhost:5133/api/loans,8,0,0
1781303319172,7,BorrowBookRequest,422,Unprocessable Entity,Thread Group 1-6,text,false,,327,218,1,1,http://localhost:5133/api/loans,7,0,1
1781303319180,4,BorrowBookRequest,404,Not Found,Thread Group 1-6,text,false,,290,220,1,1,http://localhost:5133/api/loans,4,0,0
1781303319185,6,BorrowBookRequest,404,Not Found,Thread Group 1-6,text,false,,290,219,1,1,http://localhost:5133/api/loans,6,0,0
1781303319191,5,BorrowBookRequest,404,Not Found,Thread Group 1-6,text,false,,290,220,1,1,http://localhost:5133/api/loans,5,0,0
1781303319197,6,BorrowBookRequest,404,Not Found,Thread Group 1-6,text,false,,290,219,1,1,http://localhost:5133/api/loans,6,0,0
1781303319203,6,BorrowBookRequest,404,Not Found,Thread Group 1-6,text,false,,290,219,1,1,http://localhost:5133/api/loans,6,0,0
1781303319210,6,BorrowBookRequest,404,Not Found,Thread Group 1-6,text,false,,290,220,1,1,http://localhost:5133/api/loans,6,0,0
1781303319216,6,BorrowBookRequest,404,Not Found,Thread Group 1-6,text,false,,290,219,1,1,http://localhost:5133/api/loans,6,0,0
1781303319223,5,BorrowBookRequest,404,Not Found,Thread Group 1-6,text,false,,289,219,1,1,http://localhost:5133/api/loans,5,0,0
1781303319229,5,BorrowBookRequest,404,Not Found,Thread Group 1-6,text,false,,290,220,1,1,http://localhost:5133/api/loans,5,0,0
1781303319422,5,BorrowBookRequest,404,Not Found,Thread Group 1-7,text,false,,290,219,1,1,http://localhost:5133/api/loans,5,0,0
